1	FC_Goa	108	51	23	33	205	145	60	176	1
2	Chennaiyin_FC	107	41	26	40	164	154	10	149	1
3	ATK	107	40	35	32	141	122	19	155	2
4	Mumbai_City	100	38	24	38	123	142	-19	138	1
5	Bengaluru_FC	62	35	12	16	98	60	38	121	1
6	Odisha_FC/Delhi_Dynamos	100	33	30	37	142	151	-9	129	3
7	Kerala_Blasters	102	28	36	38	118	110	8	120	2
8	Pune_City	80	27	19	34	97	142	–45	119	4
9	NorthEast_United	98	27	29	42	93	127	–34	110	4
10	Jamshedpur_FC	54	6	20	17	67	74	-7	71	5
11	Hyderabad_FC	18	2	4	12	21	39	-18	10	10
